n_layers,units,dropout,n_segments,val_loss,hidden
1,128,0.45,7,0.07572560757398605,[128]
1,64,0.45,7,0.0764845758676529,[64]
1,32,0.05,7,0.07780864834785461,[32]
1,64,0.05,7,0.07896485179662704,[64]
3,32,0.45,7,0.08091536909341812,"[32, 32, 32]"
2,32,0.45,7,0.08332014828920364,"[32, 32]"
1,32,0.45,7,0.08341968804597855,[32]
1,32,0.3,7,0.0840803012251854,[32]
1,32,0.15,7,0.08566972613334656,[32]
1,32,0.45,8,0.0928928330540657,[32]
