Ae (mm),Ap (mm),f (mm/min),N (rpm),R (mm),Z,fz,Vc,sim_file,phi_eng_deg,phi_out_deg,phi_in_deg,sigma_run_Nmm,snr_db
26,1.0,632.0,2029.2255244216656,20,2,0.15572443584852935,255.0,sim_043_ae26_ap1_N2029.2_fz0.1557.csv,107.4576031237221,180.0,72.5423968762779,0.18499724795871728,19.98870520659005
40,1.0,695.2,2108.0,20,2,0.1648956356736243,264.8990925506913,sim_044_ae40_ap1_N2108.0_fz0.1649.csv,180.0,180.0,0.0,0.20241488728696863,16.893977424229124
38,1.0,695.2,2108.0,20,2,0.1648956356736243,264.8990925506913,sim_045_ae38_ap1_N2108.0_fz0.1649.csv,154.15806723683286,180.0,25.841932763167126,0.17841037679938576,18.71917406237301
32,1.0,695.2,2108.0,20,2,0.1648956356736243,264.8990925506913,sim_046_ae32_ap1_N2108.0_fz0.1649.csv,126.86989764584403,180.0,53.13010235415596,0.19340370566081672,20.21121818165758
26,1.0,695.2,2108.0,20,2,0.1648956356736243,264.8990925506913,sim_047_ae26_ap1_N2108.0_fz0.1649.csv,107.4576031237221,180.0,72.5423968762779,0.19669791131057057,20.36920675397164
40,1.0,568.8000000000001,2108.0,20,2,0.1349146110056926,264.8990925506913,sim_048_ae40_ap1_N2108.0_fz0.1349.csv,180.0,180.0,0.0,0.21156737759192554,15.551864718158061
38,1.0,568.8000000000001,2108.0,20,2,0.1349146110056926,264.8990925506913,sim_049_ae38_ap1_N2108.0_fz0.1349.csv,154.15806723683286,180.0,25.841932763167126,0.2027867297435806,17.377061356301947
32,1.0,568.8000000000001,2108.0,20,2,0.1349146110056926,264.8990925506913,sim_050_ae32_ap1_N2108.0_fz0.1349.csv,126.86989764584403,180.0,53.13010235415596,0.24230694411004802,18.869105475586515
26,1.0,568.8000000000001,2108.0,20,2,0.1349146110056926,264.8990925506913,sim_051_ae26_ap1_N2108.0_fz0.1349.csv,107.4576031237221,180.0,72.5423968762779,0.1953174629060406,19.027094047900576
40,1.0,569.16,1897.2,20,2,0.15,238.40918329562223,sim_052_ae40_ap1_N1897.2_fz0.1500.csv,180.0,180.0,0.0,0.20341200685448768,16.256043165375953
